path_img,IMAGE\LABEL,airplane,bare-soil,buildings,cars,chaparral,court,dock,field,grass,mobile-home,pavement,sand,sea,ship,tanks,trees,water
UCMerced_LandUse/Images/agricultural/agricultural00.tif,agricultural00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
UCMerced_LandUse/Images/agricultural/agricultural02.tif,agricultural02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural05.tif,agricultural05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural07.tif,agricultural07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural09.tif,agricultural09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural11.tif,agricultural11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural13.tif,agricultural13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural15.tif,agricultural15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural17.tif,agricultural17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural19.tif,agricultural19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/airplane/airplane02.tif,airplane02,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
UCMerced_LandUse/Images/airplane/airplane03.tif,airplane03,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
UCMerced_LandUse/Images/airplane/airplane05.tif,airplane05,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
UCMerced_LandUse/Images/airplane/airplane07.tif,airplane07,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
UCMerced_LandUse/Images/airplane/airplane09.tif,airplane09,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
UCMerced_LandUse/Images/airplane/airplane11.tif,airplane11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
UCMerced_LandUse/Images/airplane/airplane13.tif,airplane13,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
UCMerced_LandUse/Images/airplane/airplane14.tif,airplane14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UCMerced_LandUse/Images/airplane/airplane18.tif,airplane18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
